lan,antal_fvo,med_artlista,utan_artlista,tackning_pct,fvo_med_vattenposter,antal_vattenposter,kalla
Blekinge,28,28,0,100.0,27,74,fiskekartan
Dalarna,69,69,0,100.0,68,1568,fiskekartan
Gotland,0,0,0,0.0,0,0,saknas_i_fiskekartan
Gävleborg,51,50,1,98.0,48,1051,fiskekartan
Halland,51,51,0,100.0,49,242,fiskekartan
Jämtland,157,157,0,100.0,147,1112,fiskekartan
Jönköping,197,195,2,99.0,174,423,fiskekartan
Kalmar,85,82,3,96.5,71,147,fiskekartan
Kronoberg,135,132,3,97.8,126,491,fiskekartan
Norrbotten,45,42,3,93.3,32,153,fiskekartan
Skåne,61,60,1,98.4,57,170,fiskekartan
Stockholm,42,38,4,90.5,21,38,fiskekartan
Södermanland,16,15,1,93.8,5,10,fiskekartan
Uppsala,21,21,0,100.0,21,45,fiskekartan
Värmland,155,154,1,99.4,136,1011,fiskekartan
Västerbotten,176,176,0,100.0,149,986,fiskekartan
Västernorrland,138,136,2,98.6,117,555,fiskekartan
Västmanland,29,28,1,96.6,24,89,fiskekartan
Västra Götaland,326,319,7,97.9,237,846,fiskekartan
Örebro,38,38,0,100.0,37,284,fiskekartan
Östergötland,87,83,4,95.4,59,130,fiskekartan
